Datum,Viral_Pot,Value_Infectious,Free_Viral,Viralität_in_Proz,Viralität_pro_X,Dunkelziffer,Menschen_mit_Viruskontakt,Geimpfte,Viral_Pot_Plus,Value_Infectious_Plus,Free_Viral_Plus,Viralität_in_Proz_Plus,Viralität_pro_X_Plus,Dunkelziffer_Plus,Menschen_mit_Viruskontakt_Plus,Geimpfte_Plus,Viral_Pot_Opt,Value_Infectious_Opt,Free_Viral_Opt,Viralität_in_Proz_Opt,Viralität_pro_X_Opt,Dunkelziffer_Opt,Menschen_mit_Viruskontakt_Opt,Geimpfte_Opt,Viral_Pot_Pess,Value_Infectious_Pess,Free_Viral_Pess,Viralität_in_Proz_Pess,Viralität_pro_X_Pess,Dunkelziffer_Pess,Menschen_mit_Viruskontakt_Pess,Geimpfte_Pess
2020-11-13,187972.87431999950786121190,0.031305058823529415,129010.92431999951077159494,1.51777558023528835740,0.06071102320941153263,3.10223150991336105164,27.99847989716871410337,0.00000000000000000000,187972.87431999950786121190,0.031305058823529415,129010.92431999951077159494,1.51777558023528835740,0.06071102320941153263,3.10223150991336105164,27.99847989716871410337,0.00000000000000000000,187972.87431999950786121190,0.031305058823529415,129010.92431999951077159494,1.51777558023528835740,0.06071102320941153263,3.10223150991336105164,27.99847989716871410337,0.00000000000000000000,187972.87431999950786121190,0.031305058823529415,129010.92431999951077159494,1.51777558023528835740,0.06071102320941153263,3.10223150991336105164,27.99847989716871410337,0.00000000000000000000
2020-11-14,191873.32579999952577054501,0.03168352941176471,136250.17579999953159131110,1.60294324470587690179,0.06411772978823507274,3.13383282001590135479,20.34245366368278240543,0.00000000000000000000,191873.32579999952577054501,0.03168352941176471,136250.17579999953159131110,1.60294324470587690179,0.06411772978823507274,3.13383282001590135479,20.34245366368278240543,0.00000000000000000000,191873.32579999952577054501,0.03168352941176471,136250.17579999953159131110,1.60294324470587690179,0.06411772978823507274,3.13383282001590135479,20.34245366368278240543,0.00000000000000000000,191873.32579999952577054501,0.03168352941176471,136250.17579999953159131110,1.60294324470587690179,0.06411772978823507274,3.13383282001590135479,20.34245366368278240543,0.00000000000000000000
2020-11-15,179226.27948999954969622195,0.031957058823529415,128304.47948999954678583890,1.50946446458823002601,0.06037857858352919938,3.14793272954997416235,21.98082606132284766431,0.00000000000000000000,179226.27948999954969622195,0.031957058823529415,128304.47948999954678583890,1.50946446458823002601,0.06037857858352919938,3.14793272954997416235,21.98082606132284766431,0.00000000000000000000,179226.27948999954969622195,0.031957058823529415,128304.47948999954678583890,1.50946446458823002601,0.06037857858352919938,3.14793272954997416235,21.98082606132284766431,0.00000000000000000000,179226.27948999954969622195,0.031957058823529415,128304.47948999954678583890,1.50946446458823002601,0.06037857858352919938,3.14793272954997416235,21.98082606132284766431,0.00000000000000000000
2020-11-16,162956.30706999957328662276,0.03273211764705882,116747.75706999957037623972,1.37350302435293603054,0.05494012097411744150,3.14641204451412592746,27.70105064111695725160,0.00000000000000000000,162956.30706999957328662276,0.03273211764705882,116747.75706999957037623972,1.37350302435293603054,0.05494012097411744150,3.14641204451412592746,27.70105064111695725160,0.00000000000000000000,162956.30706999957328662276,0.03273211764705882,116747.75706999957037623972,1.37350302435293603054,0.05494012097411744150,3.14641204451412592746,27.70105064111695725160,0.00000000000000000000,162956.30706999957328662276,0.03273211764705882,116747.75706999957037623972,1.37350302435293603054,0.05494012097411744150,3.14641204451412592746,27.70105064111695725160,0.00000000000000000000
2020-11-17,147766.99889999962761066854,0.033373529411764705,102248.64889999962178990245,1.20292528117646613239,0.04811701124705864557,3.13126682818936874497,34.88329592078191154769,0.00000000000000000000,147766.99889999962761066854,0.033373529411764705,102248.64889999962178990245,1.20292528117646613239,0.04811701124705864557,3.13126682818936874497,34.88329592078191154769,0.00000000000000000000,147766.99889999962761066854,0.033373529411764705,102248.64889999962178990245,1.20292528117646613239,0.04811701124705864557,3.13126682818936874497,34.88329592078191154769,0.00000000000000000000,147766.99889999962761066854,0.033373529411764705,102248.64889999962178990245,1.20292528117646613239,0.04811701124705864557,3.13126682818936874497,34.88329592078191154769,0.00000000000000000000
2020-11-18,144454.18348999964655376971,0.033947058823529414,97875.03348999965237453580,1.15147098223528998595,0.04605883928941159611,3.12200578513255422308,32.55461435207861597974,0.00000000000000000000,144454.18348999964655376971,0.033947058823529414,97875.03348999965237453580,1.15147098223528998595,0.04605883928941159611,3.12200578513255422308,32.55461435207861597974,0.00000000000000000000,144454.18348999964655376971,0.033947058823529414,97875.03348999965237453580,1.15147098223528998595,0.04605883928941159611,3.12200578513255422308,32.55461435207861597974,0.00000000000000000000,144454.18348999964655376971,0.033947058823529414,97875.03348999965237453580,1.15147098223528998595,0.04605883928941159611,3.12200578513255422308,32.55461435207861597974,0.00000000000000000000
2020-11-19,139164.85525999966193921864,0.03447788235294118,90991.95525999966775998473,1.07049359129411381097,0.04281974365176455244,3.09910422668202389929,30.27478115874584929657,0.00000000000000000000,139164.85525999966193921864,0.03447788235294118,90991.95525999966775998473,1.07049359129411381097,0.04281974365176455244,3.09910422668202389929,30.27478115874584929657,0.00000000000000000000,139164.85525999966193921864,0.03447788235294118,90991.95525999966775998473,1.07049359129411381097,0.04281974365176455244,3.09910422668202389929,30.27478115874584929657,0.00000000000000000000,139164.85525999966193921864,0.03447788235294118,90991.95525999966775998473,1.07049359129411381097,0.04281974365176455244,3.09910422668202389929,30.27478115874584929657,0.00000000000000000000
2020-11-20,140665.99460999964503571391,0.03498811764705882,96080.94460999964212533087,1.13036405423528996117,0.04521456216941159567,3.07791047544819473814,24.54392385821855526729,0.00000000000000000000,140665.99460999964503571391,0.03498811764705882,96080.94460999964212533087,1.13036405423528996117,0.04521456216941159567,3.07791047544819473814,24.54392385821855526729,0.00000000000000000000,140665.99460999964503571391,0.03498811764705882,96080.94460999964212533087,1.13036405423528996117,0.04521456216941159567,3.07791047544819473814,24.54392385821855526729,0.00000000000000000000,140665.99460999964503571391,0.03498811764705882,96080.94460999964212533087,1.13036405423528996117,0.04521456216941159567,3.07791047544819473814,24.54392385821855526729,0.00000000000000000000
2020-11-21,144394.59754999962751753628,0.03529211764705882,102429.24754999962169677019,1.20504997117646617255,0.04820199884705864829,3.10016396457105791740,18.41594234338584001875,0.00000000000000000000,144394.59754999962751753628,0.03529211764705882,102429.24754999962169677019,1.20504997117646617255,0.04820199884705864829,3.10016396457105791740,18.41594234338584001875,0.00000000000000000000,144394.59754999962751753628,0.03529211764705882,102429.24754999962169677019,1.20504997117646617255,0.04820199884705864829,3.10016396457105791740,18.41594234338584001875,0.00000000000000000000,144394.59754999962751753628,0.03529211764705882,102429.24754999962169677019,1.20504997117646617255,0.04820199884705864829,3.10016396457105791740,18.41594234338584001875,0.00000000000000000000
2020-11-22,136837.69273999964934773743,0.03551564705882353,98098.94273999964934773743,1.15410520870587807174,0.04616420834823511954,3.10815132197617494114,21.05160357600729525984,0.00000000000000000000,136837.69273999964934773743,0.03551564705882353,98098.94273999964934773743,1.15410520870587807174,0.04616420834823511954,3.10815132197617494114,21.05160357600729525984,0.00000000000000000000,136837.69273999964934773743,0.03551564705882353,98098.94273999964934773743,1.15410520870587807174,0.04616420834823511954,3.10815132197617494114,21.05160357600729525984,0.00000000000000000000,136837.69273999964934773743,0.03551564705882353,98098.94273999964934773743,1.15410520870587807174,0.04616420834823511954,3.10815132197617494114,21.05160357600729525984,0.00000000000000000000
2020-11-23,126250.25925999968603719026,0.036157764705882355,90982.05925999968894757330,1.07037716776470226421,0.04281508671058809057,3.10823490273188074440,26.96029645888823722544,0.00000000000000000000,126250.25925999968603719026,0.036157764705882355,90982.05925999968894757330,1.07037716776470226421,0.04281508671058809057,3.10823490273188074440,26.96029645888823722544,0.00000000000000000000,126250.25925999968603719026,0.036157764705882355,90982.05925999968894757330,1.07037716776470226421,0.04281508671058809057,3.10823490273188074440,26.96029645888823722544,0.00000000000000000000,126250.25925999968603719026,0.036157764705882355,90982.05925999968894757330,1.07037716776470226421,0.04281508671058809057,3.10823490273188074440,26.96029645888823722544,0.00000000000000000000
2020-11-24,115975.83374999971420038491,0.036680823529411766,80915.03374999971129000187,0.95194157352940844685,0.03807766294117633649,3.09664445476852856487,35.00233537521476989696,0.00000000000000000000,115975.83374999971420038491,0.036680823529411766,80915.03374999971129000187,0.95194157352940844685,0.03807766294117633649,3.09664445476852856487,35.00233537521476989696,0.00000000000000000000,115975.83374999971420038491,0.036680823529411766,80915.03374999971129000187,0.95194157352940844685,0.03807766294117633649,3.09664445476852856487,35.00233537521476989696,0.00000000000000000000,115975.83374999971420038491,0.036680823529411766,80915.03374999971129000187,0.95194157352940844685,0.03807766294117633649,3.09664445476852856487,35.00233537521476989696,0.00000000000000000000
2020-11-25,116762.49995999970997218043,0.03719023529411765,80657.04995999971288256347,0.94890647011764361896,0.03795625880470574615,3.09085757202079314254,33.50498723013200219611,0.00000000000000000000,116762.49995999970997218043,0.03719023529411765,80657.04995999971288256347,0.94890647011764361896,0.03795625880470574615,3.09085757202079314254,33.50498723013200219611,0.00000000000000000000,116762.49995999970997218043,0.03719023529411765,80657.04995999971288256347,0.94890647011764361896,0.03795625880470574615,3.09085757202079314254,33.50498723013200219611,0.00000000000000000000,116762.49995999970997218043,0.03719023529411765,80657.04995999971288256347,0.94890647011764361896,0.03795625880470574615,3.09085757202079314254,33.50498723013200219611,0.00000000000000000000
